"id","data_hora","titulo","trecho","link"
495,2013-08-22 18:40:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de celebração de um milhão de contratos do Fundo de Financiamento Estudantil (FIES)",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-celebracao-de-um-milhao-de-contratos-do-fundo-de-financiamento-estudantil-fies"
496,2013-08-27 14:41:00,"Discurso da Presidenta da República, Dilma Rousseff, na sessão solene do Congresso Nacional para entrega do Relatório Final da CPMI da Violência contra a Mulher",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-sessao-solene-do-congresso-nacional-para-entrega-do-relatorio-final-da-cpmi-da-violencia-contra-a-mulher"
497,2013-08-27 18:20:00,"Discurso da Presidenta da República, Dilma Rousseff, durante a cerimônia de formatura de alunos do Pronatec",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-a-cerimonia-de-formatura-de-alunos-do-pronatec-belo-horizonte-mg"
498,2013-08-27 20:55:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de inauguração do Centro Cultural Banco do Brasil",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-inauguracao-do-centro-cultural-banco-do-brasil"
499,2013-08-28 12:57:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de posse do Ministro de Estado das Relações Exteriores, Luiz Alberto Figueiredo Machado",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-posse-do-ministro-de-estado-das-relacoes-exteriores-luiz-alberto-figueiredo-machado"
500,2013-08-29 16:05:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de entrega de 520 unidades habitacionais no Residencial Campinas Sirius",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-entrega-de-520-unidades-habitacionais-no-residencial-campinas-sirius"
501,2013-08-29 18:49:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de formatura de 1.700 alunos do Pronatec Brasil Sem Miséria - Campinas/SP",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-formatura-de-1.700-alunos-do-pronatec-brasil-sem-miseria"
502,2013-09-06 20:39:00,"Pronunciamento da Presidenta da República, Dilma Rousseff, por ocasião do Sete de Setembro",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/pronunciamento-da-presidenta-da-republica-dilma-rousseff-por-ocasiao-do-sete-de-setembro-1"
503,2013-09-09 18:18:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de sanção da lei que destina recursos dos royalties do petróleo para Educação e Saúde - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-sancao-da-lei-que-destina-recursos-dos-royalties-do-petroleo-para-educacao-e-saude"
504,2013-09-10 18:32:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de assinatura de termos de compromisso do Programa Água para Todos com municípios do semiárido brasileiro - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-assinatura-de-termos-de-compromisso-do-programa-agua-para-todos-com-municipios-do-semiarido-brasileiro"
